name,address,icon,userComment,rating,tags,photos
"Atenea Sky Rooftop","C/ de Moratín, 12, Ciutat Vella, 46002 València, Valencia, Spain","bar","Rooftop avec vue sur le centre de valenciaaa! Très bon cocktail et tapas délicieuses ","4","Carpe diem#Cadre sympa#Fancy#Rooftop#Specialites locales#Cocktails",""
"Oi Vita Pizzeria Napoletana and Drinks","Carrer de la Conquista, 8, 46001 Valence, Valencia, Espagne","restaurant","Excellent Italien ! Super ! Pizza only ","4.5","Restaurant#Pizza#Italien",""
"MarbellaTheLatinClub","Plaça d'Hondures, 34, 46022 València, Valencia, Spain","generic","Bar club latino où on danse la salsa","2.5","Bar#Latino",""
"Johnny Maracas S.C.","Carrer dels Cavallers, 39, 46001 Valence, Valencia, Espagne","nightclub","Bar dansant latino ","3.5","Ambiance#Bar#Latino",""
"Egeo Suvlakeria Griega , Ruzafa","Carrer del Literat Azorín, 8, 46006 Valence, Valencia, Espagne","restaurant","Resto grec sympa pour manger rapidement et efficacement ","4","Greek#Restaurant",""
"Marina Beach Club","Marina de Valencia, Poblados Marítimos, 46001 Valencia, Spain","restaurant","Resto vue mer très sympa et excellentes nourritures ! Tapas et paella amazing ","4.5","Ambiance#Amis#À essayer#Beach club#Carpe diem#Cadre sympa#Excellent#Fancy#Restaurant",""
"La Crête","85 Rue Mouffetard, 75005 Paris, France","restaurant","Resto grec conseillé par Hakim ","","Sans reservation#Restaurant#Greek",""
"Paris Bogota","30 Avenue du Maine, 75015 Paris, France","restaurant","Colombien à essayer ++","","Sans reservation#À essayer#Carpe diem#Restaurant",""
"Table d’istrees","35 Avenue Duquesne, 75007 Paris, France","generic","Formule du midi à 14,90 entrée plat dessert","","Sans reservation#Restaurant",""
"Le Café du Commerce","51 Rue du Commerce, 75015 Paris, France","restaurant","","","Sans reservation#Restaurant",""
"La Boissonnière","17 Rue Poissonnière, 75002 Paris, France","nightclub","Bar ","4","Bar",""
"Nèulo","46 Rue Ste-Croix de la Bretonnerie, 75004 Paris, France","restaurant","Spécialité le flan !!","","Sans reservation#Fancy#French cook#Gouter",""
"Baobar","42 Rue Sainte-Croix-de-la-Bretonnerie 75004 Paris France","restaurant","Bao très bon ! Possible de réserver ! Très sympa et un joli moment à passer ! Je recommande vivement ! ","4","À essayer#Bao#Carpe diem",""
"Holy cookie","18 Rue des Ecouffes, 75004 Paris, France","geocode","Cookie où tu fais toi meme ton cookie. A tester une fois ","3.5","Gateaux#Gouter",""
"Bontemps","57 Rue de Bretagne, 75003 Paris, France","bakery","Tea time tres bon dans le marais ","4","À essayer#Gateaux#Gouter#Teatime",""
"Maison Gloria","15 Place Jean Jaurès, 37000 Tours, France","restaurant","Tres bon resto a JJ ","4","Fancy#Restaurant",""
"Kokodak 코코닥","8 Rue du Pot de Fer, 75005 Paris, France","restaurant","Fusion italien coréen ","","Sans reservation#Coreen#Italien#Restaurant",""
"Les Confrères","57 Rue Rodier, 75009 Paris, France","restaurant","À tester : trees bon apparemment  ","","Sans reservation#Restaurant",""
"Blabla","66 Rue Blanche, 75009 Paris, France","cafe","Mezze à partager tres sympasss! Tres copieux ! Tout fait maison et tres bon ! Une belle trouvaille 
Patron adorable
Reservable pour groupe  ","4","A partager#À essayer#Ambiance#Amis#Bar#Carpe diem#Cocktails#Mediterraneen",""
"Cafe Fino","59 Rue des Mathurins, 75008 Paris, France","cafe","Brunch ","","Sans reservation#Brunch",""
"La Cabane des Amis","Plage de l’Huveaune, En face du 7 avenue Pierre Mendès, 13008 Marseille, France","nightclub","Beach club festif et tres sympa","4","Ambiance#Amis#À essayer#Beach club#Carpe diem#Cadre sympa#Cocktails#Fancy#Festif#Street food#Vue mer",""
